Location Name,State Index,State Abbr,Total Pop,Income in the past 12 months below poverty level,"Below poverty level per 1,000 residents",Percent below poverty level,state,county
Ohio County,West Virginia,WV,43257,6626,153.18,15.318,54,69
Lee County,Florida,FL,680970,104219,153.04,15.304,12,71
Lea County,New Mexico,NM,68930,10549,153.04,15.304,35,25
Dade County,Georgia,GA,16356,2502,152.97,15.297,13,83
Newport News city,Virginia,VA,181606,27776,152.95,15.295,51,700
Butte County,Idaho,ID,2592,396,152.78,15.278,16,23
Santa Fe County,New Mexico,NM,147320,22507,152.78,15.278,35,49
Union County,Illinois,IL,17458,2667,152.77,15.277,17,181
Allegany County,New York,NY,47700,7284,152.7,15.27,36,3
Stafford County,Kansas,KS,4284,654,152.66,15.266,20,185
Winnebago County,Illinois,IL,288896,44086,152.6,15.26,17,201
Freestone County,Texas,TX,19585,2988,152.57,15.257,48,161
Cleburne County,Arkansas,AR,25587,3901,152.46,15.246,5,23
Custer County,Oklahoma,OK,29248,4459,152.45,15.245,40,39
Carter County,Oklahoma,OK,48530,7395,152.38,15.238,40,19
Furnas County,Nebraska,NE,4850,739,152.37,15.237,31,65
Stephens County,Oklahoma,OK,44631,6798,152.32,15.232,40,137
Liberty County,Montana,MT,2292,349,152.27,15.227,30,51
Santa Barbara County,California,CA,439395,66880,152.21,15.221,6,83
Manistee County,Michigan,MI,24465,3723,152.18,15.218,26,101
Ellis County,Oklahoma,OK,4123,627,152.07,15.207,40,45
Barton County,Kansas,KS,27214,4137,152.02,15.202,20,9
Cassia County,Idaho,ID,23441,3563,152,15.2,16,31
Clark County,South Dakota,SD,3639,553,151.96,15.196,46,25
Grayson County,Texas,TX,124231,18877,151.95,15.195,48,181
Clay County,Texas,TX,10367,1575,151.92,15.192,48,77
Polk County,Oregon,OR,78470,11916,151.85,15.185,41,53
Mason County,Illinois,IL,13931,2115,151.82,15.182,17,125
Stokes County,North Carolina,NC,46453,7052,151.81,15.181,37,169
Lyon County,Nevada,NV,51897,7876,151.76,15.176,32,19
Washington County,Ohio,OH,61154,9275,151.67,15.167,39,167
Edgefield County,South Carolina,SC,26388,4002,151.66,15.166,45,37
Columbiana County,Ohio,OH,105230,15946,151.53,15.153,39,29
Chenango County,New York,NY,49286,7468,151.52,15.152,36,17
Milam County,Texas,TX,24372,3692,151.49,15.149,48,331
Hockley County,Texas,TX,23377,3540,151.43,15.143,48,219
Atlantic County,New Jersey,NJ,274026,41469,151.33,15.133,34,1
Wadena County,Minnesota,MN,13755,2081,151.29,15.129,27,159
Bossier Parish,Louisiana,LA,124720,18867,151.27,15.127,22,15
Curry County,Oregon,OR,22364,3382,151.23,15.123,41,15
Spokane County,Washington,WA,485859,73462,151.2,15.12,53,63
Jewell County,Kansas,KS,3003,454,151.18,15.118,20,89
Morrow County,Oregon,OR,11207,1694,151.16,15.116,41,49
Sevier County,Tennessee,TN,94537,14285,151.1,15.11,47,155
Atascosa County,Texas,TX,47710,7208,151.08,15.108,48,13
Luzerne County,Pennsylvania,PA,318917,48174,151.05,15.105,42,79
Brunswick County,North Carolina,NC,119167,17992,150.98,15.098,37,19
Young County,Texas,TX,18275,2759,150.97,15.097,48,503
Shelby County,Missouri,MO,6148,928,150.94,15.094,29,205
Carbon County,Utah,UT,20733,3128,150.87,15.087,49,7
Kankakee County,Illinois,IL,111493,16800,150.68,15.068,17,91
Fredericksburg city,Virginia,VA,27853,4194,150.58,15.058,51,630
Hampton city,Virginia,VA,136789,20596,150.57,15.057,51,650
Ontonagon County,Michigan,MI,6165,928,150.53,15.053,26,131
Meagher County,Montana,MT,1960,295,150.51,15.051,30,59
Douglas County,Wisconsin,WI,43705,6577,150.49,15.049,55,31
Jennings County,Indiana,IN,28023,4217,150.48,15.048,18,79
Henry County,Alabama,AL,17187,2586,150.46,15.046,1,67
Douglas County,Georgia,GA,138283,20805,150.45,15.045,13,97
Fannin County,Texas,TX,33757,5078,150.43,15.043,48,147
Wirt County,West Virginia,WV,5826,876,150.36,15.036,54,105
Orange County,Texas,TX,83751,12590,150.33,15.033,48,361
Delaware County,New York,NY,46480,6987,150.32,15.032,36,25
St. Francois County,Missouri,MO,66230,9955,150.31,15.031,29,187
Washington County,Idaho,ID,10035,1508,150.27,15.027,16,87
Chemung County,New York,NY,87742,13179,150.2,15.02,36,15
Bibb County,Alabama,AL,22572,3390,150.19,15.019,1,7
Henry County,Indiana,IN,48953,7349,150.12,15.012,18,65
Miami County,Indiana,IN,36093,5416,150.06,15.006,18,103
Walla Walla County,Washington,WA,59809,8971,149.99,14.999,53,71
Lafourche Parish,Louisiana,LA,97688,14646,149.93,14.993,22,57
Goshen County,Wyoming,WY,13546,2031,149.93,14.993,56,15
Dawson County,Nebraska,NE,23924,3585,149.85,14.985,31,47
Tillamook County,Oregon,OR,25552,3821,149.54,14.954,41,57
Staunton city,Virginia,VA,24234,3622,149.46,14.946,51,790
Sanpete County,Utah,UT,28551,4265,149.38,14.938,49,39
Rusk County,Texas,TX,53197,7945,149.35,14.935,48,401
Otsego County,New York,NY,60979,9106,149.33,14.933,36,77
Lincoln County,North Carolina,NC,79783,11907,149.24,14.924,37,109
Yamhill County,Oregon,OR,102217,15255,149.24,14.924,41,71
Sterling County,Texas,TX,1233,184,149.23,14.923,48,431
Allen County,Indiana,IN,365565,54545,149.21,14.921,18,3
St. Louis County,Minnesota,MN,200353,29875,149.11,14.911,27,137
Anderson County,Kansas,KS,7858,1171,149.02,14.902,20,3
Sangamon County,Illinois,IL,198639,29600,149.01,14.901,17,167
Bond County,Illinois,IL,17137,2553,148.98,14.898,17,5
Travis County,Texas,TX,1148176,171023,148.95,14.895,48,453
Montgomery County,Tennessee,TN,189709,28232,148.82,14.882,47,125
Robertson County,Texas,TX,16537,2460,148.76,14.876,48,395
Missaukee County,Michigan,MI,15032,2234,148.62,14.862,26,113
Mason County,Texas,TX,4064,604,148.62,14.862,48,319
Marshall County,Tennessee,TN,31335,4655,148.56,14.856,47,117
Sedgwick County,Kansas,KS,508221,75476,148.51,14.851,20,173
Clark County,Kentucky,KY,35706,5300,148.43,14.843,21,49
Chariton County,Missouri,MO,7615,1130,148.39,14.839,29,41
Clark County,Nevada,NV,2070153,307146,148.37,14.837,32,3
Linn County,Kansas,KS,9524,1413,148.36,14.836,20,107
Steuben County,New York,NY,98151,14558,148.32,14.832,36,101
Pittsylvania County,Virginia,VA,62392,9254,148.32,14.832,51,143
Coosa County,Alabama,AL,10864,1610,148.2,14.82,1,37
Menominee County,Michigan,MI,23568,3492,148.17,14.817,26,109
Brookings County,South Dakota,SD,33435,4949,148.02,14.802,46,11
Jack County,Texas,TX,8866,1312,147.98,14.798,48,237
Lincoln County,Oklahoma,OK,34640,5125,147.95,14.795,40,81
Allen County,Kansas,KS,12951,1916,147.94,14.794,20,1
Creek County,Oklahoma,OK,70931,10491,147.9,14.79,40,37
Washoe County,Nevada,NV,439914,65024,147.81,14.781,32,31
Skagit County,Washington,WA,120475,17805,147.79,14.779,53,57
Fayette County,Tennessee,TN,39071,5774,147.78,14.778,47,47
Jackson County,West Virginia,WV,29199,4315,147.78,14.778,54,35
Cass County,Iowa,IA,13433,1985,147.77,14.777,19,29
Boyle County,Kentucky,KY,29650,4381,147.76,14.776,21,21
Hamilton County,Illinois,IL,8251,1219,147.74,14.774,17,65
Essex County,Vermont,VT,6173,912,147.74,14.774,50,9
Black Hawk County,Iowa,IA,132821,19605,147.6,14.76,19,13
Washington County,Indiana,IN,27792,4100,147.52,14.752,18,175
Cass County,Michigan,MI,51795,7636,147.43,14.743,26,27
Glascock County,Georgia,GA,3053,450,147.4,14.74,13,125
Greene County,Indiana,IN,32633,4810,147.4,14.74,18,55
Clinton County,Ohio,OH,41854,6169,147.39,14.739,39,27
Seneca County,Ohio,OH,55711,8209,147.35,14.735,39,147
Ashland County,Ohio,OH,53343,7859,147.33,14.733,39,5
Montgomery County,Iowa,IA,10380,1529,147.3,14.73,19,137
Cooke County,Texas,TX,38878,5726,147.28,14.728,48,97
Ashland County,Wisconsin,WI,15936,2347,147.28,14.728,55,3
Union County,Florida,FL,15159,2232,147.24,14.724,12,125
Bonner County,Idaho,ID,41389,6092,147.19,14.719,16,17
Cass County,Indiana,IN,38324,5640,147.17,14.717,18,17
Cambria County,Pennsylvania,PA,137762,20274,147.17,14.717,42,21
Prince of Wales-Hyder Census Area,Alaska,AK,6374,938,147.16,14.716,2,198
Kenosha County,Wisconsin,WI,167896,24708,147.16,14.716,55,59
Knox County,Ohio,OH,60878,8958,147.15,14.715,39,83
Fayette County,Illinois,IL,22025,3240,147.11,14.711,17,51
DeWitt County,Texas,TX,20660,3038,147.05,14.705,48,123
Lackawanna County,Pennsylvania,PA,213006,31288,146.89,14.689,42,69
Alcona County,Michigan,MI,10461,1536,146.83,14.683,26,1
Tate County,Mississippi,MS,28338,4158,146.73,14.673,28,137
Clark County,Wisconsin,WI,34486,5060,146.73,14.673,55,19
Pendleton County,Kentucky,KY,14509,2126,146.53,14.653,21,191
Grant County,Oregon,OR,7227,1059,146.53,14.653,41,23
Kent County,Michigan,MI,629352,92049,146.26,14.626,26,81
Cache County,Utah,UT,118824,17367,146.16,14.616,49,5
Bartow County,Georgia,GA,101942,14899,146.15,14.615,13,15
Jefferson County,Tennessee,TN,52851,7724,146.15,14.615,47,89
Owen County,Indiana,IN,21038,3074,146.12,14.612,18,119
Toole County,Montana,MT,5114,747,146.07,14.607,30,101
East Feliciana Parish,Louisiana,LA,19756,2885,146.03,14.603,22,37
Gunnison County,Colorado,CO,15889,2319,145.95,14.595,8,51
Craven County,North Carolina,NC,104190,15205,145.94,14.594,37,49
Baker County,Oregon,OR,16030,2339,145.91,14.591,41,1
Onondaga County,New York,NY,468050,68285,145.89,14.589,36,67
Rock Island County,Illinois,IL,146536,21375,145.87,14.587,17,161
Gray County,Texas,TX,23028,3359,145.87,14.587,48,179
Lincoln County,Washington,WA,10326,1506,145.85,14.585,53,43
Rockbridge County,Virginia,VA,22450,3274,145.84,14.584,51,163
Washington County,Utah,UT,151959,22151,145.77,14.577,49,53
Elkhart County,Indiana,IN,201640,29381,145.71,14.571,18,39
Charles City County,Virginia,VA,7086,1032,145.64,14.564,51,36
Clinton County,New York,NY,81505,11865,145.57,14.557,36,19
Hall County,Nebraska,NE,61105,8894,145.55,14.555,31,79
Lafayette County,Florida,FL,8742,1272,145.5,14.55,12,67
Prince Edward County,Virginia,VA,23077,3355,145.38,14.538,51,147
Brule County,South Dakota,SD,5312,772,145.33,14.533,46,15
Columbia County,Washington,WA,3971,577,145.3,14.53,53,13
Chautauqua County,Kansas,KS,3470,504,145.24,14.524,20,19
Franklin County,Iowa,IA,10393,1509,145.19,14.519,19,69
Orleans County,New York,NY,41938,6089,145.19,14.519,36,73
Adams County,Idaho,ID,3865,561,145.15,14.515,16,3
Fulton County,Illinois,IL,36047,5232,145.14,14.514,17,57
Moody County,South Dakota,SD,6445,935,145.07,14.507,46,101
Osage County,Oklahoma,OK,47923,6948,144.98,14.498,40,113
Vilas County,Wisconsin,WI,21373,3098,144.95,14.495,55,125
Moore County,North Carolina,NC,93070,13478,144.82,14.482,37,125
Bosque County,Texas,TX,17953,2599,144.77,14.477,48,35
Jackson County,Indiana,IN,43637,6317,144.76,14.476,18,71
Dawson County,Montana,MT,9431,1365,144.74,14.474,30,21
Santa Cruz County,California,CA,270931,39211,144.73,14.473,6,87
Maury County,Tennessee,TN,85767,12413,144.73,14.473,47,119
Webster County,Iowa,IA,37050,5362,144.72,14.472,19,187
Victoria County,Texas,TX,90989,13166,144.7,14.47,48,469
Queens County,New York,NY,2310011,334149,144.65,14.465,36,81
Scott County,Illinois,IL,5169,747,144.52,14.452,17,171
Hardin County,Ohio,OH,31652,4574,144.51,14.451,39,65
Blair County,Pennsylvania,PA,125917,18196,144.51,14.451,42,13
Sedgwick County,Colorado,CO,2367,342,144.49,14.449,8,115
Williamson County,Illinois,IL,67336,9724,144.41,14.441,17,199
Madison County,Nebraska,NE,35125,5071,144.37,14.437,31,119
Wayne County,Iowa,IA,6403,924,144.31,14.431,19,185
Johnston County,North Carolina,NC,182155,26272,144.23,14.423,37,101
Rock County,Wisconsin,WI,160986,23215,144.21,14.421,55,105
Yavapai County,Arizona,AZ,218586,31512,144.16,14.416,4,25
Hamilton County,Tennessee,TN,351305,50631,144.12,14.412,47,65
Portage County,Ohio,OH,161796,23293,143.97,14.397,39,133
Buncombe County,North Carolina,NC,250112,35996,143.92,14.392,37,21
Warren County,Illinois,IL,17611,2533,143.83,14.383,17,187
Barrow County,Georgia,GA,73340,10548,143.82,14.382,13,13
Richland County,Illinois,IL,16072,2311,143.79,14.379,17,159
Monroe County,New York,NY,749236,107724,143.78,14.378,36,55
Saline County,Kansas,KS,55547,7986,143.77,14.377,20,169
Washtenaw County,Michigan,MI,358082,51476,143.75,14.375,26,161
Yuma County,Colorado,CO,10150,1459,143.74,14.374,8,125
Dickinson County,Michigan,MI,25889,3720,143.69,14.369,26,43
Campbell County,Kentucky,KY,91456,13138,143.65,14.365,21,37
Perry County,Illinois,IL,21595,3102,143.64,14.364,17,145
Van Buren County,Iowa,IA,7380,1060,143.63,14.363,19,177
Brown County,Kansas,KS,9810,1408,143.53,14.353,20,13
Pawnee County,Oklahoma,OK,16444,2360,143.52,14.352,40,117
Washakie County,Wyoming,WY,8351,1198,143.46,14.346,56,43
Lee County,Texas,TX,16754,2402,143.37,14.337,48,287
Harding County,New Mexico,NM,565,81,143.36,14.336,35,21
Wallowa County,Oregon,OR,6836,980,143.36,14.336,41,63
Mifflin County,Pennsylvania,PA,46585,6676,143.31,14.331,42,87
Nelson County,Virginia,VA,14831,2125,143.28,14.328,51,125
Livingston Parish,Louisiana,LA,135925,19472,143.26,14.326,22,63
Erie County,New York,NY,922129,132072,143.23,14.323,36,29
Mercer County,Missouri,MO,3702,530,143.17,14.317,29,129
Androscoggin County,Maine,ME,107376,15370,143.14,14.314,23,1
Union County,New Mexico,NM,4292,614,143.06,14.306,35,59
Austin County,Texas,TX,29107,4163,143.02,14.302,48,15
Rockland County,New York,NY,322642,46128,142.97,14.297,36,87
Briscoe County,Texas,TX,1672,239,142.94,14.294,48,45
Sandoval County,New Mexico,NM,138117,19739,142.92,14.292,35,43
Bear Lake County,Idaho,ID,5928,847,142.88,14.288,16,7
Polk County,North Carolina,NC,20324,2902,142.79,14.279,37,149
Ste. Genevieve County,Missouri,MO,17937,2561,142.78,14.278,29,186
Jefferson County,Pennsylvania,PA,44575,6364,142.77,14.277,42,65
Hancock County,West Virginia,WV,30024,4286,142.75,14.275,54,29
Schuyler County,New York,NY,18336,2617,142.72,14.272,36,97
Asotin County,Washington,WA,22113,3154,142.63,14.263,53,3
Hamilton County,Texas,TX,8232,1174,142.61,14.261,48,193
Bell County,Texas,TX,330859,47165,142.55,14.255,48,27
Cascade County,Montana,MT,82049,11694,142.52,14.252,30,13
Broward County,Florida,FL,1863780,265521,142.46,14.246,12,11
Marshall County,West Virginia,WV,32296,4600,142.43,14.243,54,51
Burnet County,Texas,TX,44584,6346,142.34,14.234,48,53
Wasco County,Oregon,OR,25657,3651,142.3,14.23,41,65
Avery County,North Carolina,NC,17633,2509,142.29,14.229,37,11
Columbia County,Pennsylvania,PA,66772,9498,142.25,14.225,42,37
Sevier County,Utah,UT,20913,2973,142.16,14.216,49,41
Belmont County,Ohio,OH,69228,9839,142.12,14.212,39,13
Woodford County,Kentucky,KY,25591,3636,142.08,14.208,21,239
Granite County,Montana,MT,3212,456,141.97,14.197,30,39
Pope County,Illinois,IL,4255,604,141.95,14.195,17,151
King and Queen County,Virginia,VA,7140,1013,141.88,14.188,51,97
La Crosse County,Wisconsin,WI,117538,16675,141.87,14.187,55,63
Panola County,Texas,TX,23771,3372,141.85,14.185,48,365
Doddridge County,West Virginia,WV,8363,1186,141.82,14.182,54,17
Grant County,Wisconsin,WI,51723,7335,141.81,14.181,55,43
Jefferson County,Iowa,IA,17662,2504,141.77,14.177,19,101
Manatee County,Florida,FL,353411,50094,141.74,14.174,12,81
Tarrant County,Texas,TX,1947529,275899,141.67,14.167,48,439
Orleans County,Vermont,VT,27076,3831,141.49,14.149,50,19
Kennebec County,Maine,ME,120953,17110,141.46,14.146,23,11
Franklin County,Virginia,VA,56230,7950,141.38,14.138,51,67
Monona County,Iowa,IA,9013,1273,141.24,14.124,19,133
Newton County,Missouri,MO,58741,8294,141.2,14.12,29,145
Greenwood County,Kansas,KS,6304,890,141.18,14.118,20,73
Washington County,Oklahoma,OK,51892,7325,141.16,14.116,40,147
Franklin County,Kentucky,KY,49982,7054,141.13,14.113,21,73
Skamania County,Washington,WA,11316,1597,141.13,14.113,53,59
Rice County,Kansas,KS,9949,1404,141.12,14.112,20,159
Shawnee County,Kansas,KS,178567,25190,141.07,14.107,20,177
Page County,Iowa,IA,15552,2193,141.01,14.101,19,145
Venango County,Pennsylvania,PA,53460,7535,140.95,14.095,42,121
Preston County,West Virginia,WV,33793,4761,140.89,14.089,54,77
San Patricio County,Texas,TX,66706,9397,140.87,14.087,48,409
Knox County,Texas,TX,3807,536,140.79,14.079,48,275
Winchester city,Virginia,VA,27349,3847,140.66,14.066,51,840
Shiawassee County,Michigan,MI,68800,9649,140.25,14.025,26,155
Summit County,Ohio,OH,541372,75894,140.19,14.019,39,153
Bedford County,Pennsylvania,PA,48852,6846,140.14,14.014,42,9
Dawson County,Texas,TX,13317,1866,140.12,14.012,48,115
Dawes County,Nebraska,NE,9082,1272,140.06,14.006,31,45
Juab County,Utah,UT,10507,1470,139.91,13.991,49,23
Vernon Parish,Louisiana,LA,52101,7286,139.84,13.984,22,115
Lawrence County,Pennsylvania,PA,88528,12374,139.77,13.977,42,73
St. Clair County,Michigan,MI,160069,22366,139.73,13.973,26,147
Indian River County,Florida,FL,145342,20302,139.68,13.968,12,61
Eau Claire County,Wisconsin,WI,101907,14233,139.67,13.967,55,35
Weston County,Wyoming,WY,7175,1002,139.65,13.965,56,45
Murray County,Oklahoma,OK,13792,1925,139.57,13.957,40,99
Barber County,Kansas,KS,4831,674,139.52,13.952,20,7
Gasconade County,Missouri,MO,14875,2074,139.43,13.943,29,73
Mecklenburg County,North Carolina,NC,1011774,141024,139.38,13.938,37,119
Towns County,Georgia,GA,10976,1528,139.21,13.921,13,281
Mills County,Texas,TX,4871,678,139.19,13.919,48,333
Pinellas County,Florida,FL,939548,130727,139.14,13.914,12,103
Pike County,Illinois,IL,16054,2233,139.09,13.909,17,149
Greenville County,South Carolina,SC,482191,67067,139.09,13.909,45,45
Transylvania County,North Carolina,NC,33062,4598,139.07,13.907,37,175
Otsego County,Michigan,MI,24198,3365,139.06,13.906,26,137
Potter County,Pennsylvania,PA,17239,2395,138.93,13.893,42,105
Williams County,Ohio,OH,37270,5176,138.88,13.888,39,171
Douglas County,Nebraska,NE,543253,75422,138.83,13.883,31,55
Crawford County,Pennsylvania,PA,87027,12077,138.77,13.877,42,39
Wahkiakum County,Washington,WA,4051,562,138.73,13.873,53,69
Washington County,Virginia,VA,54562,7569,138.72,13.872,51,191
Floyd County,Iowa,IA,16004,2219,138.65,13.865,19,67
Northumberland County,Pennsylvania,PA,93590,12974,138.63,13.863,42,97
Fulton County,Indiana,IN,20412,2828,138.55,13.855,18,49
Liberty County,Florida,FL,8285,1147,138.44,13.844,12,77
Berks County,Pennsylvania,PA,414097,57329,138.44,13.844,42,11
Lewis County,New York,NY,27107,3750,138.34,13.834,36,49
Valley County,Idaho,ID,9897,1369,138.32,13.832,16,85
Towner County,North Dakota,ND,2292,317,138.31,13.831,38,95
Deschutes County,Oregon,OR,170813,23622,138.29,13.829,41,17
Nobles County,Minnesota,MN,21729,3004,138.25,13.825,27,105
Calhoun County,Iowa,IA,9876,1364,138.11,13.811,19,25
Ellis County,Kansas,KS,29032,4008,138.05,13.805,20,51
Hardin County,Kentucky,KY,107573,14847,138.02,13.802,21,93
Brevard County,Florida,FL,560683,77357,137.97,13.797,12,9
Davie County,North Carolina,NC,41568,5735,137.97,13.797,37,59
Coshocton County,Ohio,OH,36665,5058,137.95,13.795,39,31
Clearfield County,Pennsylvania,PA,81170,11196,137.93,13.793,42,33
Harper County,Oklahoma,OK,3785,522,137.91,13.791,40,59
Logan County,Ohio,OH,45388,6258,137.88,13.788,39,91
Escambia County,Florida,FL,309574,42672,137.84,13.784,12,33
Nelson County,Kentucky,KY,44875,6185,137.83,13.783,21,179
Carroll County,Ohio,OH,28108,3873,137.79,13.779,39,19
Clatsop County,Oregon,OR,37660,5187,137.73,13.773,41,7
Fergus County,Montana,MT,11429,1574,137.72,13.772,30,27
Live Oak County,Texas,TX,11976,1649,137.69,13.769,48,297
Clay County,Illinois,IL,13466,1854,137.68,13.768,17,25
Mower County,Minnesota,MN,39248,5403,137.66,13.766,27,99
Amherst County,Virginia,VA,31999,4405,137.66,13.766,51,9
Scott County,Indiana,IN,23734,3267,137.65,13.765,18,143
Jefferson County,New York,NY,117966,16236,137.63,13.763,36,45
Benton County,Washington,WA,187519,25797,137.57,13.757,53,5
Pamlico County,North Carolina,NC,12892,1773,137.53,13.753,37,137
Stark County,Ohio,OH,374762,51534,137.51,13.751,39,151
Woodbury County,Iowa,IA,102426,14084,137.5,13.75,19,193
Herkimer County,New York,NY,63558,8738,137.48,13.748,36,43
Huron County,Michigan,MI,32021,4399,137.38,13.738,26,63
Greene County,Mississippi,MS,13941,1914,137.29,13.729,28,41
Fremont County,Wyoming,WY,40683,5585,137.28,13.728,56,13
Colorado County,Texas,TX,20792,2854,137.26,13.726,48,89
Donley County,Texas,TX,3506,481,137.19,13.719,48,129
Meade County,Kansas,KS,4310,591,137.12,13.712,20,119
Livingston County,Kentucky,KY,9353,1282,137.07,13.707,21,139
Jackson County,Colorado,CO,1306,179,137.06,13.706,8,57
Lycoming County,Pennsylvania,PA,116313,15932,136.98,13.698,42,81
Box Butte County,Nebraska,NE,11279,1544,136.89,13.689,31,13
Reno County,Kansas,KS,63803,8727,136.78,13.678,20,155
Cass County,Illinois,IL,13068,1787,136.75,13.675,17,17
Palm Beach County,Florida,FL,1398757,191207,136.7,13.67,12,99
Baxter County,Arkansas,AR,40992,5600,136.61,13.661,5,5
Monroe County,Wisconsin,WI,45365,6192,136.49,13.649,55,81
San Diego County,California,CA,3253356,444024,136.48,13.648,6,73
Greene County,Pennsylvania,PA,37669,5141,136.48,13.648,42,59
Smith County,Kansas,KS,3701,505,136.45,13.645,20,183
Oneida County,Idaho,ID,4269,582,136.33,13.633,16,71
Lancaster County,Nebraska,NE,301707,41105,136.24,13.624,31,109
Dallas County,Arkansas,AR,7738,1054,136.21,13.621,5,39
Limestone County,Alabama,AL,90257,12290,136.17,13.617,1,83
Llano County,Texas,TX,19624,2672,136.16,13.616,48,299
Lenawee County,Michigan,MI,98673,13434,136.15,13.615,26,91
Boise County,Idaho,ID,6891,938,136.12,13.612,16,15
Tipton County,Tennessee,TN,61558,8378,136.1,13.61,47,167
Hardy County,West Virginia,WV,13942,1897,136.06,13.606,54,31
White County,Illinois,IL,14410,1960,136.02,13.602,17,193
Ford County,Illinois,IL,13758,1871,135.99,13.599,17,53
Flathead County,Montana,MT,94696,12875,135.96,13.596,30,29
Carbon County,Wyoming,WY,15696,2133,135.89,13.589,56,7
Jackson County,Iowa,IA,19529,2653,135.85,13.585,19,97
Tyler County,Texas,TX,21371,2903,135.84,13.584,48,457
Parke County,Indiana,IN,17033,2312,135.74,13.574,18,121
Kaufman County,Texas,TX,111830,15160,135.56,13.556,48,257
McLean County,Illinois,IL,173254,23485,135.55,13.555,17,113
Lincoln County,Missouri,MO,54286,7358,135.54,13.554,29,113
Eddy County,New Mexico,NM,56369,7638,135.5,13.55,35,15
Jones County,Georgia,GA,28701,3888,135.47,13.547,13,169
Windham County,Vermont,VT,43609,5906,135.43,13.543,50,25
Warren County,Missouri,MO,33290,4506,135.36,13.536,29,219
Lorain County,Ohio,OH,304091,41156,135.34,13.534,39,93
Holt County,Missouri,MO,4537,614,135.33,13.533,29,87
Southampton County,Virginia,VA,18291,2475,135.31,13.531,51,175
Clark County,Missouri,MO,6860,928,135.28,13.528,29,45
Lampasas County,Texas,TX,20357,2751,135.14,13.514,48,281
Franklin County,Maine,ME,30270,4089,135.08,13.508,23,7
Southeast Fairbanks Census Area,Alaska,AK,6970,941,135.01,13.501,2,240
Livingston County,New York,NY,64622,8720,134.94,13.494,36,51
Schoharie County,New York,NY,31667,4273,134.94,13.494,36,95
Camden County,Georgia,GA,52092,7029,134.93,13.493,13,39
Yankton County,South Dakota,SD,22649,3055,134.88,13.488,46,135
Lexington County,South Carolina,SC,277702,37445,134.84,13.484,45,63
Mahaska County,Iowa,IA,22324,3010,134.83,13.483,19,123
Wayne County,Utah,UT,2716,366,134.76,13.476,49,55
Salem County,New Jersey,NJ,64504,8692,134.75,13.475,34,33
LaSalle County,Illinois,IL,111935,15069,134.62,13.462,17,99
Morgan County,Illinois,IL,34801,4684,134.59,13.459,17,137
Sherman County,Texas,TX,3069,413,134.57,13.457,48,421
Elmore County,Alabama,AL,80957,10893,134.55,13.455,1,51
Richland County,Wisconsin,WI,17642,2373,134.51,13.451,55,103
Las Animas County,Colorado,CO,14322,1926,134.48,13.448,8,71
Washington County,Texas,TX,34544,4645,134.47,13.447,48,477
Pennington County,South Dakota,SD,107298,14402,134.22,13.422,46,103
Jackson County,Georgia,GA,62131,8330,134.07,13.407,13,157
Ionia County,Michigan,MI,64126,8597,134.06,13.406,26,67
Portage County,Wisconsin,WI,70551,9454,134,13.4,55,97
Humboldt County,Iowa,IA,9607,1286,133.86,13.386,19,91
Orange County,North Carolina,NC,139807,18713,133.85,13.385,37,135
Colusa County,California,CA,21361,2859,133.84,13.384,6,11
Kanabec County,Minnesota,MN,15918,2130,133.81,13.381,27,65
St. Clair County,Alabama,AL,86576,11582,133.78,13.378,1,115
Jefferson County,Indiana,IN,32482,4344,133.74,13.374,18,77
Burleson County,Texas,TX,17417,2329,133.72,13.372,48,51
Tuscarawas County,Ohio,OH,92579,12379,133.71,13.371,39,157
Todd County,Minnesota,MN,24335,3253,133.68,13.368,27,153
Niagara County,New York,NY,213374,28523,133.68,13.368,36,63
Loudon County,Tennessee,TN,50637,6767,133.64,13.364,47,105
Chatham County,North Carolina,NC,68778,9185,133.55,13.355,37,37
Major County,Oklahoma,OK,7721,1031,133.53,13.353,40,93
San Luis Obispo County,California,CA,278680,37208,133.52,13.352,6,79
Clinton County,Iowa,IA,47972,6405,133.52,13.352,19,45
Presque Isle County,Michigan,MI,12955,1729,133.46,13.346,26,141
Kenton County,Kentucky,KY,163393,21805,133.45,13.345,21,117
Galveston County,Texas,TX,314485,41948,133.39,13.339,48,167
Lake County,Florida,FL,317586,42342,133.32,13.332,12,69
Pasco County,Florida,FL,488310,65101,133.32,13.332,12,101
Defiance County,Ohio,OH,38488,5129,133.26,13.326,39,39
Tuolumne County,California,CA,53864,7176,133.22,13.322,6,109
Preble County,Ohio,OH,41561,5536,133.2,13.32,39,135
Upshur County,Texas,TX,40295,5367,133.19,13.319,48,459
Blount County,Tennessee,TN,126192,16793,133.07,13.307,47,9
Harper County,Kansas,KS,5798,771,132.98,13.298,20,77
Grant County,North Dakota,ND,2369,315,132.97,13.297,38,37
Douglas County,Washington,WA,40101,5330,132.91,13.291,53,17
Columbia County,Oregon,OR,49645,6598,132.9,13.29,41,9
Daviess County,Indiana,IN,32583,4329,132.86,13.286,18,27
Bingham County,Idaho,ID,45261,6008,132.74,13.274,16,11
Essex County,Virginia,VA,11130,1477,132.7,13.27,51,57
Perry County,Indiana,IN,19301,2561,132.69,13.269,18,123
Stone County,Missouri,MO,31197,4139,132.67,13.267,29,209
Perkins County,South Dakota,SD,3019,400,132.49,13.249,46,105
