,Case Type,Count,Date,Province/State,State Abbr,Country/Region,Location Name,State Index,Total Pop,Income in the past 12 months below poverty level,"Below poverty level per 1,000 residents",Percent below poverty level,state,county
92,Recovered,0.0,1/24/2020,King County, WA,US,,,,,,,,
93,Recovered,0.0,1/24/2020,Snohomish County, WA,US,,,,,,,,
94,Recovered,0.0,1/25/2020,King County, WA,US,,,,,,,,
95,Recovered,0.0,1/25/2020,Snohomish County, WA,US,,,,,,,,
96,Recovered,0.0,1/26/2020,King County, WA,US,,,,,,,,
97,Recovered,0.0,1/26/2020,Snohomish County, WA,US,,,,,,,,
98,Recovered,0.0,1/27/2020,King County, WA,US,,,,,,,,
99,Recovered,0.0,1/27/2020,Snohomish County, WA,US,,,,,,,,
100,Recovered,0.0,1/28/2020,King County, WA,US,,,,,,,,
101,Recovered,0.0,1/28/2020,Snohomish County, WA,US,,,,,,,,
102,Recovered,0.0,1/29/2020,King County, WA,US,,,,,,,,
103,Recovered,0.0,1/29/2020,Snohomish County, WA,US,,,,,,,,
104,Recovered,0.0,1/30/2020,King County, WA,US,,,,,,,,
105,Recovered,0.0,1/30/2020,Snohomish County, WA,US,,,,,,,,
106,Recovered,0.0,1/31/2020,King County, WA,US,,,,,,,,
107,Recovered,0.0,1/31/2020,Snohomish County, WA,US,,,,,,,,
108,Recovered,0.0,2/1/2020,King County, WA,US,,,,,,,,
109,Recovered,0.0,2/1/2020,Snohomish County, WA,US,,,,,,,,
110,Recovered,0.0,2/10/2020,King County, WA,US,,,,,,,,
111,Recovered,0.0,2/10/2020,Snohomish County, WA,US,,,,,,,,
112,Recovered,0.0,2/11/2020,King County, WA,US,,,,,,,,
113,Recovered,0.0,2/11/2020,Snohomish County, WA,US,,,,,,,,
114,Recovered,0.0,2/12/2020,King County, WA,US,,,,,,,,
115,Recovered,0.0,2/12/2020,Snohomish County, WA,US,,,,,,,,
116,Recovered,0.0,2/13/2020,King County, WA,US,,,,,,,,
117,Recovered,0.0,2/13/2020,Snohomish County, WA,US,,,,,,,,
118,Recovered,0.0,2/14/2020,King County, WA,US,,,,,,,,
119,Recovered,0.0,2/14/2020,Snohomish County, WA,US,,,,,,,,
120,Recovered,0.0,2/15/2020,King County, WA,US,,,,,,,,
121,Recovered,0.0,2/15/2020,Snohomish County, WA,US,,,,,,,,
122,Recovered,0.0,2/16/2020,King County, WA,US,,,,,,,,
123,Recovered,0.0,2/16/2020,Snohomish County, WA,US,,,,,,,,
124,Recovered,0.0,2/17/2020,King County, WA,US,,,,,,,,
125,Recovered,0.0,2/17/2020,Snohomish County, WA,US,,,,,,,,
126,Recovered,0.0,2/18/2020,King County, WA,US,,,,,,,,
127,Recovered,0.0,2/18/2020,Snohomish County, WA,US,,,,,,,,
128,Recovered,0.0,2/19/2020,King County, WA,US,,,,,,,,
129,Recovered,0.0,2/19/2020,Snohomish County, WA,US,,,,,,,,
130,Recovered,0.0,2/2/2020,King County, WA,US,,,,,,,,
131,Recovered,0.0,2/2/2020,Snohomish County, WA,US,,,,,,,,
132,Recovered,0.0,2/20/2020,King County, WA,US,,,,,,,,
133,Recovered,0.0,2/20/2020,Snohomish County, WA,US,,,,,,,,
134,Recovered,0.0,2/21/2020,King County, WA,US,,,,,,,,
135,Recovered,0.0,2/21/2020,Snohomish County, WA,US,,,,,,,,
136,Recovered,0.0,2/22/2020,King County, WA,US,,,,,,,,
137,Recovered,0.0,2/22/2020,Snohomish County, WA,US,,,,,,,,
138,Recovered,0.0,2/23/2020,King County, WA,US,,,,,,,,
139,Recovered,0.0,2/23/2020,Snohomish County, WA,US,,,,,,,,
140,Recovered,0.0,2/24/2020,King County, WA,US,,,,,,,,
141,Recovered,0.0,2/24/2020,Snohomish County, WA,US,,,,,,,,
142,Recovered,0.0,2/25/2020,King County, WA,US,,,,,,,,
143,Recovered,0.0,2/25/2020,Snohomish County, WA,US,,,,,,,,
144,Recovered,0.0,2/26/2020,King County, WA,US,,,,,,,,
145,Recovered,0.0,2/26/2020,Snohomish County, WA,US,,,,,,,,
146,Recovered,0.0,2/27/2020,King County, WA,US,,,,,,,,
147,Recovered,0.0,2/27/2020,Snohomish County, WA,US,,,,,,,,
148,Recovered,0.0,2/28/2020,King County, WA,US,,,,,,,,
149,Recovered,0.0,2/28/2020,Snohomish County, WA,US,,,,,,,,
150,Recovered,0.0,2/29/2020,King County, WA,US,,,,,,,,
151,Recovered,0.0,2/29/2020,Snohomish County, WA,US,,,,,,,,
152,Recovered,0.0,2/3/2020,King County, WA,US,,,,,,,,
153,Recovered,0.0,2/3/2020,Snohomish County, WA,US,,,,,,,,
154,Recovered,0.0,2/4/2020,King County, WA,US,,,,,,,,
155,Recovered,0.0,2/4/2020,Snohomish County, WA,US,,,,,,,,
156,Recovered,0.0,2/5/2020,King County, WA,US,,,,,,,,
157,Recovered,0.0,2/5/2020,Snohomish County, WA,US,,,,,,,,
158,Recovered,0.0,2/6/2020,King County, WA,US,,,,,,,,
159,Recovered,0.0,2/6/2020,Snohomish County, WA,US,,,,,,,,
160,Recovered,0.0,2/7/2020,King County, WA,US,,,,,,,,
161,Recovered,0.0,2/7/2020,Snohomish County, WA,US,,,,,,,,
162,Recovered,0.0,2/8/2020,King County, WA,US,,,,,,,,
163,Recovered,0.0,2/8/2020,Snohomish County, WA,US,,,,,,,,
164,Recovered,1.0,2/9/2020,King County, WA,US,,,,,,,,
165,Recovered,0.0,2/9/2020,Snohomish County, WA,US,,,,,,,,
166,Recovered,0.0,3/1/2020,King County, WA,US,,,,,,,,
167,Recovered,0.0,3/1/2020,Snohomish County, WA,US,,,,,,,,
168,Recovered,0.0,3/2/2020,King County, WA,US,,,,,,,,
169,Recovered,0.0,3/2/2020,Snohomish County, WA,US,,,,,,,,
170,Recovered,0.0,3/3/2020,King County, WA,US,,,,,,,,
171,Recovered,0.0,3/3/2020,Snohomish County, WA,US,,,,,,,,
172,Confirmed,10.0,3/4/2020,King County, WA,US,,,,,,,,
173,Confirmed,2.0,3/4/2020,Snohomish County, WA,US,,,,,,,,
174,Confirmed,1.0,1/22/2020,King County, WA,US,,,,,,,,
175,Confirmed,0.0,1/22/2020,Snohomish County, WA,US,,,,,,,,
176,Confirmed,0.0,1/23/2020,King County, WA,US,,,,,,,,
177,Confirmed,0.0,1/23/2020,Snohomish County, WA,US,,,,,,,,
178,Confirmed,0.0,1/24/2020,King County, WA,US,,,,,,,,
179,Confirmed,0.0,1/24/2020,Snohomish County, WA,US,,,,,,,,
180,Confirmed,0.0,1/25/2020,King County, WA,US,,,,,,,,
181,Confirmed,0.0,1/25/2020,Snohomish County, WA,US,,,,,,,,
182,Confirmed,0.0,1/26/2020,King County, WA,US,,,,,,,,
183,Confirmed,0.0,1/26/2020,Snohomish County, WA,US,,,,,,,,
184,Confirmed,0.0,1/27/2020,King County, WA,US,,,,,,,,
185,Confirmed,0.0,1/27/2020,Snohomish County, WA,US,,,,,,,,
186,Confirmed,0.0,1/28/2020,King County, WA,US,,,,,,,,
187,Confirmed,0.0,1/28/2020,Snohomish County, WA,US,,,,,,,,
188,Confirmed,0.0,1/29/2020,King County, WA,US,,,,,,,,
189,Confirmed,0.0,1/29/2020,Snohomish County, WA,US,,,,,,,,
190,Confirmed,0.0,1/30/2020,King County, WA,US,,,,,,,,
191,Confirmed,0.0,1/30/2020,Snohomish County, WA,US,,,,,,,,
192,Confirmed,0.0,1/31/2020,King County, WA,US,,,,,,,,
193,Confirmed,0.0,1/31/2020,Snohomish County, WA,US,,,,,,,,
194,Confirmed,0.0,2/1/2020,King County, WA,US,,,,,,,,
195,Confirmed,0.0,2/1/2020,Snohomish County, WA,US,,,,,,,,
196,Confirmed,0.0,2/10/2020,King County, WA,US,,,,,,,,
197,Confirmed,0.0,2/10/2020,Snohomish County, WA,US,,,,,,,,
198,Confirmed,0.0,2/11/2020,King County, WA,US,,,,,,,,
199,Confirmed,0.0,2/11/2020,Snohomish County, WA,US,,,,,,,,
200,Confirmed,0.0,2/12/2020,King County, WA,US,,,,,,,,
201,Confirmed,0.0,2/12/2020,Snohomish County, WA,US,,,,,,,,
202,Confirmed,0.0,2/13/2020,King County, WA,US,,,,,,,,
203,Confirmed,0.0,2/13/2020,Snohomish County, WA,US,,,,,,,,
204,Confirmed,0.0,2/14/2020,King County, WA,US,,,,,,,,
205,Confirmed,0.0,2/14/2020,Snohomish County, WA,US,,,,,,,,
206,Confirmed,0.0,2/15/2020,King County, WA,US,,,,,,,,
207,Confirmed,0.0,2/15/2020,Snohomish County, WA,US,,,,,,,,
208,Confirmed,0.0,2/16/2020,King County, WA,US,,,,,,,,
209,Confirmed,0.0,2/16/2020,Snohomish County, WA,US,,,,,,,,
210,Confirmed,0.0,2/17/2020,King County, WA,US,,,,,,,,
211,Confirmed,0.0,2/17/2020,Snohomish County, WA,US,,,,,,,,
212,Confirmed,0.0,2/18/2020,King County, WA,US,,,,,,,,
213,Confirmed,0.0,2/18/2020,Snohomish County, WA,US,,,,,,,,
214,Confirmed,0.0,2/19/2020,King County, WA,US,,,,,,,,
215,Confirmed,0.0,2/19/2020,Snohomish County, WA,US,,,,,,,,
216,Confirmed,0.0,2/2/2020,King County, WA,US,,,,,,,,
217,Confirmed,0.0,2/2/2020,Snohomish County, WA,US,,,,,,,,
218,Confirmed,0.0,2/20/2020,King County, WA,US,,,,,,,,
219,Confirmed,0.0,2/20/2020,Snohomish County, WA,US,,,,,,,,
220,Confirmed,0.0,2/21/2020,King County, WA,US,,,,,,,,
221,Confirmed,0.0,2/21/2020,Snohomish County, WA,US,,,,,,,,
222,Confirmed,0.0,2/22/2020,King County, WA,US,,,,,,,,
223,Confirmed,0.0,2/22/2020,Snohomish County, WA,US,,,,,,,,
224,Confirmed,0.0,2/23/2020,King County, WA,US,,,,,,,,
225,Confirmed,0.0,2/23/2020,Snohomish County, WA,US,,,,,,,,
226,Confirmed,0.0,2/24/2020,King County, WA,US,,,,,,,,
227,Confirmed,0.0,2/24/2020,Snohomish County, WA,US,,,,,,,,
228,Confirmed,0.0,2/25/2020,King County, WA,US,,,,,,,,
229,Confirmed,0.0,2/25/2020,Snohomish County, WA,US,,,,,,,,
230,Confirmed,0.0,2/26/2020,King County, WA,US,,,,,,,,
231,Confirmed,0.0,2/26/2020,Snohomish County, WA,US,,,,,,,,
232,Confirmed,0.0,2/27/2020,King County, WA,US,,,,,,,,
233,Confirmed,0.0,2/27/2020,Snohomish County, WA,US,,,,,,,,
234,Confirmed,0.0,2/28/2020,King County, WA,US,,,,,,,,
235,Confirmed,0.0,2/28/2020,Snohomish County, WA,US,,,,,,,,
236,Confirmed,5.0,2/29/2020,King County, WA,US,,,,,,,,
237,Confirmed,1.0,2/29/2020,Snohomish County, WA,US,,,,,,,,
238,Confirmed,0.0,2/3/2020,King County, WA,US,,,,,,,,
239,Confirmed,0.0,2/3/2020,Snohomish County, WA,US,,,,,,,,
240,Confirmed,0.0,2/4/2020,King County, WA,US,,,,,,,,
241,Confirmed,0.0,2/4/2020,Snohomish County, WA,US,,,,,,,,
242,Confirmed,0.0,2/5/2020,King County, WA,US,,,,,,,,
243,Confirmed,0.0,2/5/2020,Snohomish County, WA,US,,,,,,,,
244,Confirmed,0.0,2/6/2020,King County, WA,US,,,,,,,,
245,Confirmed,0.0,2/6/2020,Snohomish County, WA,US,,,,,,,,
246,Confirmed,0.0,2/7/2020,King County, WA,US,,,,,,,,
247,Confirmed,0.0,2/7/2020,Snohomish County, WA,US,,,,,,,,
248,Confirmed,0.0,2/8/2020,King County, WA,US,,,,,,,,
249,Confirmed,0.0,2/8/2020,Snohomish County, WA,US,,,,,,,,
250,Confirmed,0.0,2/9/2020,King County, WA,US,,,,,,,,
251,Confirmed,0.0,2/9/2020,Snohomish County, WA,US,,,,,,,,
252,Confirmed,3.0,3/1/2020,King County, WA,US,,,,,,,,
253,Confirmed,1.0,3/1/2020,Snohomish County, WA,US,,,,,,,,
254,Confirmed,5.0,3/2/2020,King County, WA,US,,,,,,,,
255,Confirmed,2.0,3/2/2020,Snohomish County, WA,US,,,,,,,,
256,Confirmed,7.0,3/3/2020,King County, WA,US,,,,,,,,
257,Confirmed,2.0,3/3/2020,Snohomish County, WA,US,,,,,,,,
258,Deaths,0.0,3/4/2020,Cook County, IL,US,,,,,,,,
259,Deaths,0.0,1/22/2020,Cook County, IL,US,,,,,,,,
260,Deaths,0.0,1/23/2020,Cook County, IL,US,,,,,,,,
261,Deaths,0.0,1/24/2020,Cook County, IL,US,,,,,,,,
262,Deaths,0.0,1/25/2020,Cook County, IL,US,,,,,,,,
263,Deaths,0.0,1/26/2020,Cook County, IL,US,,,,,,,,
264,Deaths,0.0,1/27/2020,Cook County, IL,US,,,,,,,,
265,Deaths,0.0,1/28/2020,Cook County, IL,US,,,,,,,,
266,Deaths,0.0,1/29/2020,Cook County, IL,US,,,,,,,,
267,Deaths,0.0,1/30/2020,Cook County, IL,US,,,,,,,,
268,Deaths,0.0,1/31/2020,Cook County, IL,US,,,,,,,,
269,Deaths,0.0,2/1/2020,Cook County, IL,US,,,,,,,,
270,Deaths,0.0,2/10/2020,Cook County, IL,US,,,,,,,,
271,Deaths,0.0,2/11/2020,Cook County, IL,US,,,,,,,,
272,Deaths,0.0,2/12/2020,Cook County, IL,US,,,,,,,,
273,Deaths,0.0,2/13/2020,Cook County, IL,US,,,,,,,,
274,Deaths,0.0,2/14/2020,Cook County, IL,US,,,,,,,,
275,Deaths,0.0,2/15/2020,Cook County, IL,US,,,,,,,,
276,Deaths,0.0,2/16/2020,Cook County, IL,US,,,,,,,,
277,Deaths,0.0,2/17/2020,Cook County, IL,US,,,,,,,,
278,Deaths,0.0,2/18/2020,Cook County, IL,US,,,,,,,,
279,Deaths,0.0,2/19/2020,Cook County, IL,US,,,,,,,,
280,Deaths,0.0,2/2/2020,Cook County, IL,US,,,,,,,,
281,Deaths,0.0,2/20/2020,Cook County, IL,US,,,,,,,,
282,Deaths,0.0,2/21/2020,Cook County, IL,US,,,,,,,,
283,Deaths,0.0,2/22/2020,Cook County, IL,US,,,,,,,,
284,Deaths,0.0,2/23/2020,Cook County, IL,US,,,,,,,,
285,Deaths,0.0,2/24/2020,Cook County, IL,US,,,,,,,,
286,Deaths,0.0,2/25/2020,Cook County, IL,US,,,,,,,,
287,Deaths,0.0,2/26/2020,Cook County, IL,US,,,,,,,,
288,Deaths,0.0,2/27/2020,Cook County, IL,US,,,,,,,,
289,Deaths,0.0,2/28/2020,Cook County, IL,US,,,,,,,,
290,Deaths,0.0,2/29/2020,Cook County, IL,US,,,,,,,,
291,Deaths,0.0,2/3/2020,Cook County, IL,US,,,,,,,,
292,Deaths,0.0,2/4/2020,Cook County, IL,US,,,,,,,,
293,Deaths,0.0,2/5/2020,Cook County, IL,US,,,,,,,,
294,Deaths,0.0,2/6/2020,Cook County, IL,US,,,,,,,,
295,Deaths,0.0,2/7/2020,Cook County, IL,US,,,,,,,,
296,Deaths,0.0,2/8/2020,Cook County, IL,US,,,,,,,,
297,Deaths,0.0,2/9/2020,Cook County, IL,US,,,,,,,,
298,Deaths,0.0,3/1/2020,Cook County, IL,US,,,,,,,,
299,Deaths,0.0,3/2/2020,Cook County, IL,US,,,,,,,,
300,Deaths,0.0,3/3/2020,Cook County, IL,US,,,,,,,,
301,Recovered,0.0,3/4/2020,Cook County, IL,US,,,,,,,,
302,Recovered,0.0,1/22/2020,Cook County, IL,US,,,,,,,,
303,Recovered,0.0,1/23/2020,Cook County, IL,US,,,,,,,,
304,Recovered,0.0,1/24/2020,Cook County, IL,US,,,,,,,,
305,Recovered,0.0,1/25/2020,Cook County, IL,US,,,,,,,,
306,Recovered,0.0,1/26/2020,Cook County, IL,US,,,,,,,,
307,Recovered,0.0,1/27/2020,Cook County, IL,US,,,,,,,,
308,Recovered,0.0,1/28/2020,Cook County, IL,US,,,,,,,,
309,Recovered,0.0,1/29/2020,Cook County, IL,US,,,,,,,,
310,Recovered,0.0,1/30/2020,Cook County, IL,US,,,,,,,,
311,Recovered,0.0,1/31/2020,Cook County, IL,US,,,,,,,,
312,Recovered,0.0,2/1/2020,Cook County, IL,US,,,,,,,,
313,Recovered,0.0,2/10/2020,Cook County, IL,US,,,,,,,,
314,Recovered,0.0,2/11/2020,Cook County, IL,US,,,,,,,,
315,Recovered,0.0,2/12/2020,Cook County, IL,US,,,,,,,,
316,Recovered,0.0,2/13/2020,Cook County, IL,US,,,,,,,,
317,Recovered,0.0,2/14/2020,Cook County, IL,US,,,,,,,,
318,Recovered,0.0,2/15/2020,Cook County, IL,US,,,,,,,,
319,Recovered,0.0,2/16/2020,Cook County, IL,US,,,,,,,,
320,Recovered,0.0,2/17/2020,Cook County, IL,US,,,,,,,,
321,Recovered,0.0,2/18/2020,Cook County, IL,US,,,,,,,,
322,Recovered,0.0,2/19/2020,Cook County, IL,US,,,,,,,,
323,Recovered,0.0,2/2/2020,Cook County, IL,US,,,,,,,,
324,Recovered,0.0,2/20/2020,Cook County, IL,US,,,,,,,,
325,Recovered,0.0,2/21/2020,Cook County, IL,US,,,,,,,,
326,Recovered,0.0,2/22/2020,Cook County, IL,US,,,,,,,,
327,Recovered,0.0,2/23/2020,Cook County, IL,US,,,,,,,,
328,Recovered,0.0,2/24/2020,Cook County, IL,US,,,,,,,,
329,Recovered,0.0,2/25/2020,Cook County, IL,US,,,,,,,,
330,Recovered,0.0,2/26/2020,Cook County, IL,US,,,,,,,,
331,Recovered,0.0,2/27/2020,Cook County, IL,US,,,,,,,,
332,Recovered,0.0,2/28/2020,Cook County, IL,US,,,,,,,,
333,Recovered,0.0,2/29/2020,Cook County, IL,US,,,,,,,,
334,Recovered,0.0,2/3/2020,Cook County, IL,US,,,,,,,,
335,Recovered,0.0,2/4/2020,Cook County, IL,US,,,,,,,,
336,Recovered,0.0,2/5/2020,Cook County, IL,US,,,,,,,,
337,Recovered,0.0,2/6/2020,Cook County, IL,US,,,,,,,,
338,Recovered,0.0,2/7/2020,Cook County, IL,US,,,,,,,,
339,Recovered,0.0,2/8/2020,Cook County, IL,US,,,,,,,,
340,Recovered,2.0,2/9/2020,Cook County, IL,US,,,,,,,,
341,Recovered,0.0,3/1/2020,Cook County, IL,US,,,,,,,,
342,Recovered,0.0,3/2/2020,Cook County, IL,US,,,,,,,,
343,Recovered,0.0,3/3/2020,Cook County, IL,US,,,,,,,,
344,Confirmed,0.0,3/4/2020,Cook County, IL,US,,,,,,,,
345,Confirmed,0.0,1/22/2020,Cook County, IL,US,,,,,,,,
346,Confirmed,0.0,1/23/2020,Cook County, IL,US,,,,,,,,
347,Confirmed,1.0,1/24/2020,Cook County, IL,US,,,,,,,,
348,Confirmed,0.0,1/25/2020,Cook County, IL,US,,,,,,,,
349,Confirmed,0.0,1/26/2020,Cook County, IL,US,,,,,,,,
350,Confirmed,0.0,1/27/2020,Cook County, IL,US,,,,,,,,
351,Confirmed,0.0,1/28/2020,Cook County, IL,US,,,,,,,,
352,Confirmed,0.0,1/29/2020,Cook County, IL,US,,,,,,,,
353,Confirmed,0.0,1/30/2020,Cook County, IL,US,,,,,,,,
354,Confirmed,1.0,1/31/2020,Cook County, IL,US,,,,,,,,
355,Confirmed,0.0,2/1/2020,Cook County, IL,US,,,,,,,,
356,Confirmed,0.0,2/10/2020,Cook County, IL,US,,,,,,,,
357,Confirmed,0.0,2/11/2020,Cook County, IL,US,,,,,,,,
358,Confirmed,0.0,2/12/2020,Cook County, IL,US,,,,,,,,
359,Confirmed,0.0,2/13/2020,Cook County, IL,US,,,,,,,,
360,Confirmed,0.0,2/14/2020,Cook County, IL,US,,,,,,,,
361,Confirmed,0.0,2/15/2020,Cook County, IL,US,,,,,,,,
362,Confirmed,0.0,2/16/2020,Cook County, IL,US,,,,,,,,
363,Confirmed,0.0,2/17/2020,Cook County, IL,US,,,,,,,,
364,Confirmed,0.0,2/18/2020,Cook County, IL,US,,,,,,,,
365,Confirmed,0.0,2/19/2020,Cook County, IL,US,,,,,,,,
366,Confirmed,0.0,2/2/2020,Cook County, IL,US,,,,,,,,
367,Confirmed,0.0,2/20/2020,Cook County, IL,US,,,,,,,,
368,Confirmed,0.0,2/21/2020,Cook County, IL,US,,,,,,,,
369,Confirmed,0.0,2/22/2020,Cook County, IL,US,,,,,,,,
370,Confirmed,0.0,2/23/2020,Cook County, IL,US,,,,,,,,
371,Confirmed,0.0,2/24/2020,Cook County, IL,US,,,,,,,,
372,Confirmed,0.0,2/25/2020,Cook County, IL,US,,,,,,,,
373,Confirmed,0.0,2/26/2020,Cook County, IL,US,,,,,,,,
374,Confirmed,0.0,2/27/2020,Cook County, IL,US,,,,,,,,
375,Confirmed,0.0,2/28/2020,Cook County, IL,US,,,,,,,,
376,Confirmed,0.0,2/29/2020,Cook County, IL,US,,,,,,,,
377,Confirmed,0.0,2/3/2020,Cook County, IL,US,,,,,,,,
378,Confirmed,0.0,2/4/2020,Cook County, IL,US,,,,,,,,
379,Confirmed,0.0,2/5/2020,Cook County, IL,US,,,,,,,,
